,number,lumiblock,run,era
9953,185435085.0,136.0,304616.0,JetHT_Run2017E
9954,187076839.0,137.0,304616.0,JetHT_Run2017E
22549,2037554962.0,1680.0,305064.0,JetHT_Run2017F
22550,1850903876.0,1095.0,305081.0,JetHT_Run2017F
22551,1851313069.0,1095.0,305081.0,JetHT_Run2017F
22552,1851099427.0,1095.0,305081.0,JetHT_Run2017F
22553,4032558.0,4.0,305182.0,JetHT_Run2017F
22554,3102459898.0,1847.0,305636.0,JetHT_Run2017F
22555,3103437169.0,1848.0,305636.0,JetHT_Run2017F
22556,3103106195.0,1848.0,305636.0,JetHT_Run2017F
22557,3499047937.0,2196.0,305636.0,JetHT_Run2017F
22558,3503910997.0,2201.0,305636.0,JetHT_Run2017F
22559,1966038450.0,1589.0,305064.0,JetHT_Run2017F
22560,1968613215.0,1592.0,305064.0,JetHT_Run2017F
22561,1975912459.0,1601.0,305064.0,JetHT_Run2017F
22562,1976230830.0,1602.0,305064.0,JetHT_Run2017F
22563,2011710122.0,1647.0,305064.0,JetHT_Run2017F
22564,2011644152.0,1647.0,305064.0,JetHT_Run2017F
22565,2020003268.0,1657.0,305064.0,JetHT_Run2017F
22566,2019543325.0,1657.0,305064.0,JetHT_Run2017F
22567,2019913638.0,1657.0,305064.0,JetHT_Run2017F
22568,2036489057.0,1678.0,305064.0,JetHT_Run2017F
22907,1742933871.0,1320.0,305064.0,JetHT_Run2017F
22908,1746622299.0,1324.0,305064.0,JetHT_Run2017F
22909,640178049.0,373.0,305045.0,JetHT_Run2017F
22910,639630809.0,373.0,305045.0,JetHT_Run2017F
22911,668738006.0,391.0,305045.0,JetHT_Run2017F
22912,1266519295.0,806.0,305045.0,JetHT_Run2017F
22913,1264962276.0,805.0,305045.0,JetHT_Run2017F
22914,1273763584.0,812.0,305045.0,JetHT_Run2017F
22915,353302362.0,267.0,305059.0,JetHT_Run2017F
22916,140139.0,1.0,305063.0,JetHT_Run2017F
22917,2852979.0,3.0,305063.0,JetHT_Run2017F
22918,9721956.0,8.0,305063.0,JetHT_Run2017F
22919,1648167068.0,1217.0,305064.0,JetHT_Run2017F
22920,1648462781.0,1217.0,305064.0,JetHT_Run2017F
22921,1649696563.0,1218.0,305064.0,JetHT_Run2017F
22922,1688699828.0,1260.0,305064.0,JetHT_Run2017F
22923,1691025218.0,1263.0,305064.0,JetHT_Run2017F
24516,2264907806.0,1368.0,305112.0,JetHT_Run2017F
24517,2266849680.0,1369.0,305112.0,JetHT_Run2017F
24518,2265729990.0,1369.0,305112.0,JetHT_Run2017F
24519,2276416104.0,1377.0,305112.0,JetHT_Run2017F
24520,2284106037.0,1383.0,305112.0,JetHT_Run2017F
24521,2286451992.0,1385.0,305112.0,JetHT_Run2017F
24522,2289553527.0,1387.0,305112.0,JetHT_Run2017F
24523,2289386616.0,1387.0,305112.0,JetHT_Run2017F
24524,2289864790.0,1388.0,305112.0,JetHT_Run2017F
24525,2291718602.0,1389.0,305112.0,JetHT_Run2017F
24526,2291251194.0,1389.0,305112.0,JetHT_Run2017F
24527,2295167022.0,1392.0,305112.0,JetHT_Run2017F
24528,486457693.0,279.0,305313.0,JetHT_Run2017F
24529,490958176.0,281.0,305313.0,JetHT_Run2017F
24530,620284275.0,358.0,305313.0,JetHT_Run2017F
24531,630139355.0,364.0,305313.0,JetHT_Run2017F
24532,630967162.0,364.0,305313.0,JetHT_Run2017F
24533,1294412029.0,714.0,306125.0,JetHT_Run2017F
24534,1295374466.0,714.0,306125.0,JetHT_Run2017F
24535,1301792651.0,718.0,306125.0,JetHT_Run2017F
24536,1301674947.0,718.0,306125.0,JetHT_Run2017F
24537,1303291872.0,718.0,306125.0,JetHT_Run2017F
24538,1302885123.0,718.0,306125.0,JetHT_Run2017F
24539,2232062263.0,1945.0,305064.0,JetHT_Run2017F
24540,2231929247.0,1945.0,305064.0,JetHT_Run2017F
24541,2232067407.0,1945.0,305064.0,JetHT_Run2017F
24542,2266639032.0,1995.0,305064.0,JetHT_Run2017F
24543,2271376543.0,2002.0,305064.0,JetHT_Run2017F
24544,2271914775.0,2003.0,305064.0,JetHT_Run2017F
24545,2272022005.0,2003.0,305064.0,JetHT_Run2017F
24546,2273469909.0,2005.0,305064.0,JetHT_Run2017F
24547,2273709334.0,2006.0,305064.0,JetHT_Run2017F
24548,2284116397.0,2022.0,305064.0,JetHT_Run2017F
24549,2255595005.0,1361.0,305112.0,JetHT_Run2017F
24550,2258159136.0,1363.0,305112.0,JetHT_Run2017F
24551,2259222365.0,1363.0,305112.0,JetHT_Run2017F
24552,2259414512.0,1364.0,305112.0,JetHT_Run2017F
24553,2262053233.0,1366.0,305112.0,JetHT_Run2017F
33032,477607135.0,302.0,305516.0,JetHT_Run2017F
33033,238620021.0,170.0,305516.0,JetHT_Run2017F
33034,239236665.0,170.0,305516.0,JetHT_Run2017F
33035,240410157.0,171.0,305516.0,JetHT_Run2017F
33036,243366638.0,173.0,305516.0,JetHT_Run2017F
33037,243699106.0,173.0,305516.0,JetHT_Run2017F
33038,244779675.0,173.0,305516.0,JetHT_Run2017F
33039,375062136.0,247.0,305516.0,JetHT_Run2017F
33040,374705561.0,247.0,305516.0,JetHT_Run2017F
33041,378740822.0,249.0,305516.0,JetHT_Run2017F
33042,379233893.0,249.0,305516.0,JetHT_Run2017F
33043,380337611.0,250.0,305516.0,JetHT_Run2017F
33044,388682925.0,255.0,305516.0,JetHT_Run2017F
33045,554656348.0,343.0,305516.0,JetHT_Run2017F
33046,553888660.0,343.0,305516.0,JetHT_Run2017F
33047,554314150.0,343.0,305516.0,JetHT_Run2017F
33048,559429466.0,347.0,305516.0,JetHT_Run2017F
33049,560814577.0,347.0,305516.0,JetHT_Run2017F
33050,559270052.0,347.0,305516.0,JetHT_Run2017F
33051,560640640.0,347.0,305516.0,JetHT_Run2017F
33052,565011437.0,350.0,305516.0,JetHT_Run2017F
33053,568338968.0,351.0,305516.0,JetHT_Run2017F
33054,568169124.0,351.0,305516.0,JetHT_Run2017F
33055,115213260.0,97.0,305516.0,JetHT_Run2017F
33056,115016011.0,97.0,305516.0,JetHT_Run2017F
33057,228727598.0,164.0,305516.0,JetHT_Run2017F
33058,209445026.0,153.0,305516.0,JetHT_Run2017F
33059,211679855.0,154.0,305516.0,JetHT_Run2017F
33060,211212999.0,154.0,305516.0,JetHT_Run2017F
33061,219780442.0,159.0,305516.0,JetHT_Run2017F
33062,219262123.0,159.0,305516.0,JetHT_Run2017F
33063,220789446.0,160.0,305516.0,JetHT_Run2017F
33064,221223709.0,160.0,305516.0,JetHT_Run2017F
33065,222057723.0,161.0,305516.0,JetHT_Run2017F
33066,345947858.0,232.0,305516.0,JetHT_Run2017F
33067,347660614.0,233.0,305516.0,JetHT_Run2017F
33068,351902809.0,235.0,305516.0,JetHT_Run2017F
33069,351572659.0,235.0,305516.0,JetHT_Run2017F
33070,351530723.0,235.0,305516.0,JetHT_Run2017F
33071,353931143.0,236.0,305516.0,JetHT_Run2017F
33072,354606906.0,237.0,305516.0,JetHT_Run2017F
33073,359048323.0,239.0,305516.0,JetHT_Run2017F
33074,358504317.0,239.0,305516.0,JetHT_Run2017F
33075,468874097.0,298.0,305516.0,JetHT_Run2017F
33076,471242922.0,299.0,305516.0,JetHT_Run2017F
33077,471410947.0,299.0,305516.0,JetHT_Run2017F
33078,473070366.0,300.0,305516.0,JetHT_Run2017F
33079,474788061.0,301.0,305516.0,JetHT_Run2017F
33080,475615609.0,301.0,305516.0,JetHT_Run2017F
33081,477115985.0,302.0,305516.0,JetHT_Run2017F
33513,477916650.0,293.0,305586.0,JetHT_Run2017F
33514,477541956.0,293.0,305586.0,JetHT_Run2017F
33515,478343221.0,293.0,305586.0,JetHT_Run2017F
33516,478867037.0,293.0,305586.0,JetHT_Run2017F
33517,478246963.0,293.0,305586.0,JetHT_Run2017F
33518,483751952.0,296.0,305586.0,JetHT_Run2017F
33519,486535275.0,297.0,305586.0,JetHT_Run2017F
33520,485743872.0,297.0,305586.0,JetHT_Run2017F
33521,488038002.0,298.0,305586.0,JetHT_Run2017F
33522,2851339701.0,1654.0,305636.0,JetHT_Run2017F
33523,2853460094.0,1656.0,305636.0,JetHT_Run2017F
33524,2857226801.0,1658.0,305636.0,JetHT_Run2017F
33525,2861677850.0,1662.0,305636.0,JetHT_Run2017F
33526,2861683495.0,1662.0,305636.0,JetHT_Run2017F
33527,2863022780.0,1663.0,305636.0,JetHT_Run2017F
33528,2863890140.0,1663.0,305636.0,JetHT_Run2017F
33529,2865818196.0,1665.0,305636.0,JetHT_Run2017F
33530,2869717092.0,1667.0,305636.0,JetHT_Run2017F
33531,2870563618.0,1668.0,305636.0,JetHT_Run2017F
33532,2873547897.0,1670.0,305636.0,JetHT_Run2017F
33533,2872904146.0,1670.0,305636.0,JetHT_Run2017F
33534,2877970749.0,1674.0,305636.0,JetHT_Run2017F
33535,2890031982.0,1682.0,305636.0,JetHT_Run2017F
33536,1027378415.0,575.0,305518.0,JetHT_Run2017F
33537,1152080289.0,660.0,305518.0,JetHT_Run2017F
33538,1494237109.0,911.0,305518.0,JetHT_Run2017F
33539,1496981456.0,913.0,305518.0,JetHT_Run2017F
33540,1497497695.0,913.0,305518.0,JetHT_Run2017F
33541,1507684766.0,921.0,305518.0,JetHT_Run2017F
33542,1627971298.0,1016.0,305518.0,JetHT_Run2017F
33543,1629315961.0,1017.0,305518.0,JetHT_Run2017F
33544,21807803.0,61.0,305636.0,JetHT_Run2017F
33545,23343725.0,61.0,305636.0,JetHT_Run2017F
33546,22409896.0,61.0,305636.0,JetHT_Run2017F
33547,24897337.0,62.0,305636.0,JetHT_Run2017F
33548,33353885.0,66.0,305636.0,JetHT_Run2017F
33549,31445874.0,66.0,305636.0,JetHT_Run2017F
33550,33673729.0,67.0,305636.0,JetHT_Run2017F
33551,35146508.0,67.0,305636.0,JetHT_Run2017F
33552,33926992.0,67.0,305636.0,JetHT_Run2017F
33553,36334632.0,68.0,305636.0,JetHT_Run2017F
33554,364536278.0,232.0,305586.0,JetHT_Run2017F
33555,367700036.0,233.0,305586.0,JetHT_Run2017F
33556,369467280.0,234.0,305586.0,JetHT_Run2017F
33557,370556215.0,235.0,305586.0,JetHT_Run2017F
33558,376437849.0,238.0,305586.0,JetHT_Run2017F
33559,476692947.0,292.0,305586.0,JetHT_Run2017F
33560,476760588.0,292.0,305586.0,JetHT_Run2017F
33561,476470645.0,292.0,305586.0,JetHT_Run2017F
34561,783093561.0,546.0,306459.0,JetHT_Run2017F
34562,782622109.0,546.0,306459.0,JetHT_Run2017F
34563,784273653.0,547.0,306459.0,JetHT_Run2017F
34564,787154950.0,549.0,306459.0,JetHT_Run2017F
34565,791022274.0,552.0,306459.0,JetHT_Run2017F
34566,792205738.0,553.0,306459.0,JetHT_Run2017F
34567,199553254.0,143.0,305766.0,JetHT_Run2017F
34568,332218840.0,210.0,305766.0,JetHT_Run2017F
34569,28307991.0,59.0,305766.0,JetHT_Run2017F
34570,29916516.0,60.0,305766.0,JetHT_Run2017F
34571,45815167.0,68.0,305766.0,JetHT_Run2017F
34572,48593458.0,69.0,305766.0,JetHT_Run2017F
34573,627818666.0,364.0,305766.0,JetHT_Run2017F
34574,628848204.0,364.0,305766.0,JetHT_Run2017F
34575,633668588.0,367.0,305766.0,JetHT_Run2017F
34576,3223252292.0,1947.0,305636.0,JetHT_Run2017F
34577,3446591007.0,2147.0,305636.0,JetHT_Run2017F
34578,256498770.0,175.0,305809.0,JetHT_Run2017F
34579,257361181.0,175.0,305809.0,JetHT_Run2017F
34580,764087108.0,531.0,306459.0,JetHT_Run2017F
34581,765587438.0,532.0,306459.0,JetHT_Run2017F
34582,773628406.0,539.0,306459.0,JetHT_Run2017F
34583,775234540.0,540.0,306459.0,JetHT_Run2017F
34584,781024156.0,544.0,306459.0,JetHT_Run2017F
36216,137965055.0,74.0,305840.0,JetHT_Run2017F
36217,140160129.0,75.0,305840.0,JetHT_Run2017F
36218,379598006.0,204.0,305840.0,JetHT_Run2017F
36219,383917219.0,206.0,305840.0,JetHT_Run2017F
36220,384052047.0,206.0,305840.0,JetHT_Run2017F
36221,405713969.0,217.0,305840.0,JetHT_Run2017F
36222,404774581.0,217.0,305840.0,JetHT_Run2017F
36223,407491347.0,218.0,305840.0,JetHT_Run2017F
36224,407458105.0,218.0,305840.0,JetHT_Run2017F
36225,484556455.0,261.0,305840.0,JetHT_Run2017F
36226,485283576.0,261.0,305840.0,JetHT_Run2017F
36227,487541616.0,262.0,305840.0,JetHT_Run2017F
36228,491011661.0,264.0,305840.0,JetHT_Run2017F
36229,493235165.0,265.0,305840.0,JetHT_Run2017F
36230,493345129.0,265.0,305840.0,JetHT_Run2017F
36231,502095463.0,270.0,305840.0,JetHT_Run2017F
36232,233848682.0,187.0,305862.0,JetHT_Run2017F
36233,232967177.0,187.0,305862.0,JetHT_Run2017F
36234,233768614.0,187.0,305862.0,JetHT_Run2017F
36235,28957159.0,16.0,306038.0,JetHT_Run2017F
36236,30777605.0,16.0,306038.0,JetHT_Run2017F
36237,121705892.0,65.0,305840.0,JetHT_Run2017F
36238,123666304.0,67.0,305840.0,JetHT_Run2017F
36239,127658184.0,69.0,305840.0,JetHT_Run2017F
36240,176501088.0,95.0,305840.0,JetHT_Run2017F
36241,177873678.0,96.0,305840.0,JetHT_Run2017F
